test_code,sex,intra_patient_std_mean,intra_patient_std_median
MCH,ALL,0.8287440218304969,0.5958187643906484
MCH,M,0.7863803398154562,0.5727128425310534
MCH,F,0.8603525000470627,0.6142291202361394
PLT,ALL,28.74011668763316,23.892243212270497
PLT,M,26.941600297492283,21.86467705144767
PLT,F,30.07997368938124,25.403849226204485
HCT,ALL,2.097932152306458,1.8322507626258089
HCT,M,2.186078968858072,1.889822365046136
HCT,F,2.0322333174781955,1.7919573407620832
MCV,ALL,2.203821761603147,1.788854381999831
MCV,M,2.1228706221622016,1.7288403306519913
MCV,F,2.2642319184053155,1.8165902124584945
MCHC,ALL,0.6937590599516407,0.6345695954176898
MCHC,M,0.6955673013519091,0.6363961030678924
MCHC,F,0.6924099207730904,0.6325387443927009
RBC,ALL,0.2293110720489135,0.1978015534455037
RBC,M,0.2449565876005144,0.2085019830195312
RBC,F,0.2176287064175007,0.1910622716356899
RDWCV,ALL,0.5950274447036058,0.4037325847637273
RDWCV,M,0.5527145547708922,0.3784471194529327
RDWCV,F,0.6266241758599682,0.4242640687119284
TSH,ALL,1.565264438708943,0.6652863714551471
TSH,M,1.5272863346793768,0.6100461979525515
TSH,F,1.5820316680784663,0.6895208883522844
WBC,ALL,1.2489706567178864,1.012891899464104
WBC,M,1.22676978219894,0.9635853188310136
WBC,F,1.2655464052734118,1.049262836416616
CRE,ALL,0.1212599609198407,0.0734796890703978
CRE,M,0.1384891272180583,0.0797496081495075
CRE,F,0.1055444798641206,0.0678232998312526
HB,ALL,0.7231335380144766,0.6066300355241241
HB,M,0.7636886167165177,0.6348228099241551
HB,F,0.6928209055615179,0.5853875395228119
K,ALL,0.268130625966713,0.2544836041121407
K,M,0.2644081136796329,0.2504541329810166
K,F,0.2715352600662115,0.2573367875415837
CL,ALL,1.857418982419062,1.6949121725703886
CL,M,1.8560054883374029,1.6903085094570358
CL,F,1.858712220011749,1.7013926184468018
CO2,ALL,1.7800700479258351,1.712255291076124
CO2,M,1.7892500785927894,1.7224014243685082
CO2,F,1.7716720726103297,1.6914819275153692
IGAP,ALL,1.7163745127692591,1.6465452046971292
IGAP,M,1.7134570339672013,1.6431676725154984
IGAP,F,1.7190460526339086,1.66198747676855
GLU,ALL,18.62607767675396,10.878778703832364
GLU,M,20.007949684221867,11.371150534138296
GLU,F,17.36743742051252,10.49404593090768
BUN,ALL,3.3304292521355845,2.748737083745107
BUN,M,3.448779160261332,2.7945525240230875
BUN,F,3.222174313437592,2.701851217221259
CA,ALL,0.2706190070975582,0.2549509756796388
CA,M,0.2640450460391871,0.2489979919597739
CA,F,0.2766057662954791,0.260177454235196
TNEUT,ALL,1.0027020538702225,0.8127118038063676
TNEUT,M,0.9703590832957544,0.7825087858931681
TNEUT,F,1.0273811339591878,0.8364847079694088
LYMPH,ALL,0.4724522038483311,0.2988812473207378
LYMPH,M,0.5047101087135728,0.2871062521088664
LYMPH,F,0.4478468447427288,0.3064637009500473
MONOC,ALL,0.1170618097224224,0.0974679434480896
MONOC,M,0.1235093930715749,0.1017404104135181
MONOC,F,0.1121433774494803,0.094375137968994
ALB,ALL,0.2013718253236588,0.183484785926972
ALB,M,0.1987636279397584,0.1816590212458493
ALB,F,0.2037680233846691,0.1864454471471609
AST,ALL,5.987612663685949,3.6013465495140795
AST,M,6.59712956328679,3.964807305493795
AST,F,5.426146827225494,3.286335345030997
ALT,ALL,8.434313133861897,5.272570530585627
ALT,M,9.689492849191469,6.1691231764482986
ALT,F,7.279198970496304,4.546060565661952
BIL,ALL,0.1661349759386048,0.1341640786499873
BIL,M,0.1888749293809131,0.1505940617307715
BIL,F,0.1452470014427981,0.1211060141638996
BILD,ALL,0.0814870385657599,0.0462910049886275
BILD,M,0.0859523117870812,0.0487950036474266
BILD,F,0.0754764724074494,0.0447213595499958
TP,ALL,0.2918927396815226,0.2712405363721073
TP,M,0.2886778880932087,0.2672612419124244
TP,F,0.2948437269028731,0.2751622897751176
CHOL,ALL,24.142013041425173,20.91595737056453
CHOL,M,24.240609342945376,21.1331520899669
CHOL,F,24.03479891359124,20.65591117977289
TRIG,ALL,50.17908142583841,36.69260446174955
TRIG,M,56.606373875314624,41.22817548970417
TRIG,F,43.17186310948063,32.65899750908062
HDL,ALL,5.784126760973311,5.059644256269408
HDL,M,5.353152247933918,4.615192303685731
HDL,F,6.252746713570967,5.563486402641869
NONHDL,ALL,23.290185278716766,19.783979444007464
NONHDL,M,23.59632895777571,20.25257185314168
NONHDL,F,22.95642674540855,19.250602955441146
LDLN,ALL,17.554748031179127,13.65218686671638
LDLN,M,16.43701101667145,12.449899597988733
LDLN,F,19.19591311101724,15.05656003209232
PROPAT,ALL,1.7034986975757664,0.6163926927194461
PROPAT,M,1.6844770047208464,0.6315933774939507
PROPAT,F,1.7290579061112856,0.5976717160998056
PROINR,ALL,0.1936760639117321,0.0707106781186547
PROINR,M,0.1966472502975575,0.0707106781186547
PROINR,F,0.1896773362039701,0.0666666666666666
HSCRP,ALL,5.942120786354756,2.4096198526039165
HSCRP,M,6.808954221786404,2.320811437139759
HSCRP,F,5.439659964702768,2.4706511191687364
LD,ALL,35.28471231117466,22.8844925659277
LD,M,34.29201370289852,22.600884938426635
LD,F,36.67617071196798,23.17858514699828
MG,ALL,0.1691248218411785,0.1464620151776446
MG,M,0.1689389559336893,0.1473844859566609
MG,F,0.1693521218877285,0.1441153384245783
P,ALL,0.5215908938390065,0.4501322525894125
P,M,0.5277221587932286,0.4489405322180533
P,F,0.5139151763600839,0.4510789271524927
FER,ALL,81.97616453597941,25.51456102319828
FER,M,127.8196474112804,39.75502943768748
FER,F,62.26793280432733,21.13764414498456
VITDT,ALL,8.662401640214048,7.491728772155712
VITDT,M,8.45655034819511,7.367066354164775
VITDT,F,8.762692886655376,7.552019597432199
A1C,ALL,0.6093753940043873,0.3854496446637726
A1C,M,0.6336343307618607,0.4111540089159038
A1C,F,0.5806900954352743,0.3582364210034109
ALK,ALL,11.611369571502149,8.50026737547387
ALK,M,11.190317715283458,7.905694150420947
ALK,F,11.998442066399344,9.086620200419222
LDL,ALL,14.614642447658502,12.911235417263525
LDL,M,12.892645362925563,11.445361813451544
LDL,F,18.058636617124368,17.626684316683043
,ALL,1.7011677750854513,1.5979898086569384
,M,1.685694928000362,1.5811388300841898
,F,1.7153253506101551,1.609268029180849
